Nested Sampling Global Log-Evidence           :    0.432650225329482282E+03  +/-    0.398634075043390546E+00

Dim No.       Mean        Sigma
   1    0.130486726438113587E+01    0.232512420343466324E-02
   2    0.139662912227297329E+04    0.686105337259452028E+02
   3   -0.558903589673453549E+01    0.319073235458591564E+00
   4   -0.729295338791080106E+01    0.359771801241816569E+00
   5   -0.391381563543954281E+01    0.185264816355433792E+00
   6    0.476003060073459551E+03    0.473423848627842716E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.130458767413896704E+01
   2    0.143496530199956374E+04
   3   -0.569947460649409887E+01
   4   -0.736016150384745771E+01
   5   -0.403241065071664284E+01
   6    0.484429871964931181E+03

MAP Parameters
Dim No.        Parameter
   1    0.130458767413896704E+01
   2    0.143496530199956374E+04
   3   -0.569947460649409887E+01
   4   -0.736016150384745771E+01
   5   -0.403241065071664284E+01
   6    0.484429871964931181E+03
