Nested Sampling Global Log-Evidence           :    0.430472292778722760E+03  +/-    0.429734832469658545E+00

Dim No.       Mean        Sigma
   1    0.132835407299061492E+01    0.165245610943154306E-01
   2    0.136771050772581771E+04    0.761813292995425257E+02
   3   -0.574261357304900688E+01    0.396836111982939055E+00
   4   -0.741070473906273364E+01    0.490192835571074237E+00
   5   -0.398473185214722392E+01    0.223093345401939924E+00
   6   -0.519213457897593344E+03    0.357526617303269518E+03
   7   -0.502747448394108176E+03    0.350959120849073372E+03
   8   -0.187572121803401153E+02    0.342384985594169734E+03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.133812898857876528E+01
   2    0.134194386285595760E+04
   3   -0.588820334029787595E+01
   4   -0.752025069187587825E+01
   5   -0.401280296158145511E+01
   6   -0.709673113960037881E+03
   7   -0.694383877036189460E+03
   8   -0.212637944891504389E+03

MAP Parameters
Dim No.        Parameter
   1    0.133812898857876528E+01
   2    0.134194386285595760E+04
   3   -0.588820334029787595E+01
   4   -0.752025069187587825E+01
   5   -0.401280296158145511E+01
   6   -0.709673113960037881E+03
   7   -0.694383877036189460E+03
   8   -0.212637944891504389E+03
