Nested Sampling Global Log-Evidence           :    0.366668066720941624E+03  +/-    0.160201775393127910E+00

Dim No.       Mean        Sigma
   1    0.131551294669579377E+01    0.149092114309839216E-02
   2    0.131242717507901693E+04    0.705002380342527317E+02
   3   -0.456242798492399970E+01    0.130528695096144454E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.131560124720433991E+01
   2    0.130355382271630447E+04
   3   -0.453947992690221547E+01

MAP Parameters
Dim No.        Parameter
   1    0.131560124720433991E+01
   2    0.130355382271630447E+04
   3   -0.453947992690221547E+01
